,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kahului,US,20.8947,-156.47,78.8,61,40,17.27,scattered clouds
1,Srednekolymsk,RU,67.45,153.6833,-21.32,99,76,2.73,broken clouds
2,Hohhot,CN,40.8106,111.6522,32.0,47,0,2.24,clear sky
3,Muravlenko,RU,63.7898,74.523,28.63,97,100,7.74,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,39.2,75,90,26.46,light snow
5,Richards Bay,ZA,-28.783,32.0377,72.03,59,86,11.41,overcast clouds
6,Kloulklubed,PW,7.0419,134.2556,77.0,88,75,4.61,broken clouds
7,Albany,US,42.6001,-73.9662,52.0,13,14,7.67,few clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,69,20,9.22,few clouds
9,Carnarvon,AU,-24.8667,113.6333,77.0,83,0,12.66,clear sky
10,Castro,BR,-24.7911,-50.0119,69.04,71,18,6.38,few clouds
11,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,24.16,few clouds
12,Gamba,GA,-2.65,10.0,78.78,86,100,6.2,light rain
13,Rikitea,PF,-23.1203,-134.9692,75.52,73,53,16.4,light rain
14,Sioux Lookout,CA,50.1001,-91.917,53.6,28,40,5.75,scattered clouds
15,Lethem,GY,3.3803,-59.7968,94.08,38,99,11.23,overcast clouds
16,Mossendjo,CG,-2.9506,12.7261,69.73,98,100,2.28,light rain
17,Manta,EC,-0.95,-80.7333,84.2,79,20,10.36,few clouds
18,Georgetown,MY,5.4112,100.3354,81.0,89,40,3.44,light rain
19,Yellowknife,CA,62.456,-114.3525,7.0,61,20,9.22,few clouds
20,Udachnyy,RU,66.4167,112.4,-27.62,100,98,4.14,overcast clouds
21,Sitka,US,57.0531,-135.33,37.4,87,90,5.75,light rain
22,Saldanha,ZA,-33.0117,17.9442,64.4,82,0,6.91,clear sky
23,Shangrao,CN,28.4532,117.9686,58.89,94,100,5.91,overcast clouds
24,La Ronge,CA,55.1001,-105.2842,44.6,31,16,11.5,few clouds
25,Souillac,MU,-20.5167,57.5167,80.6,89,40,4.61,light rain
26,Bredasdorp,ZA,-34.5322,20.0403,55.4,88,0,3.44,clear sky
